date,datatype,station,attributes,value
"2018-07-20T00:00:00","TAVG","GHCND:ASN00066037","HS","133"
"2018-07-21T00:00:00","TAVG","GHCND:ASN00066037","HS","114"
"2018-07-22T00:00:00","TAVG","GHCND:ASN00066037","HS","114"
"2018-07-23T00:00:00","TAVG","GHCND:ASN00066037","HS","155"
"2018-07-24T00:00:00","TAVG","GHCND:ASN00066037","HS","172"
"2018-07-25T00:00:00","TAVG","GHCND:ASN00066037","HS","157"
"2018-07-26T00:00:00","TAVG","GHCND:ASN00066037","HS","130"
"2018-07-27T00:00:00","TAVG","GHCND:ASN00066037","HS","141"
"2018-07-28T00:00:00","TAVG","GHCND:ASN00066037","HS","171"
"2018-07-29T00:00:00","TAVG","GHCND:ASN00066037","HS","173"
"2018-07-30T00:00:00","TAVG","GHCND:ASN00066037","HS","129"
"2018-07-31T00:00:00","TAVG","GHCND:ASN00066037","HS","154"
"2018-08-01T00:00:00","TAVG","GHCND:ASN00066037","HS","147"
"2018-08-02T00:00:00","TAVG","GHCND:ASN00066037","HS","142"
"2018-08-03T00:00:00","TAVG","GHCND:ASN00066037","HS","176"
"2018-08-04T00:00:00","TAVG","GHCND:ASN00066037","HS","134"
"2018-08-05T00:00:00","TAVG","GHCND:ASN00066037","HS","162"
"2018-08-06T00:00:00","TAVG","GHCND:ASN00066037","HS","148"
"2018-08-07T00:00:00","TAVG","GHCND:ASN00066037","HS","129"
"2018-08-08T00:00:00","TAVG","GHCND:ASN00066037","HS","144"
"2018-08-09T00:00:00","TAVG","GHCND:ASN00066037","HS","134"
"2018-08-10T00:00:00","TAVG","GHCND:ASN00066037","HS","174"
"2018-08-11T00:00:00","TAVG","GHCND:ASN00066037","HS","178"
"2018-08-12T00:00:00","TAVG","GHCND:ASN00066037","HS","119"
"2018-08-13T00:00:00","TAVG","GHCND:ASN00066037","HS","144"
"2018-08-14T00:00:00","TAVG","GHCND:ASN00066037","HS","160"
"2018-08-15T00:00:00","TAVG","GHCND:ASN00066037","HS","197"
"2018-08-16T00:00:00","TAVG","GHCND:ASN00066037","HS","143"
"2018-08-17T00:00:00","TAVG","GHCND:ASN00066037","HS","123"
"2018-08-18T00:00:00","TAVG","GHCND:ASN00066037","HS","144"
"2018-08-19T00:00:00","TAVG","GHCND:ASN00066037","HS","116"
"2018-08-20T00:00:00","TAVG","GHCND:ASN00066037","HS","112"
"2018-08-21T00:00:00","TAVG","GHCND:ASN00066037","HS","136"
"2018-08-22T00:00:00","TAVG","GHCND:ASN00066037","HS","119"
"2018-08-23T00:00:00","TAVG","GHCND:ASN00066037","HS","132"
"2018-08-24T00:00:00","TAVG","GHCND:ASN00066037","HS","146"
"2018-08-25T00:00:00","TAVG","GHCND:ASN00066037","HS","148"
